run	render_time_s	frames	fps_effective	peak_mem_mb	status	description
1	49.393	600	12.15	43.3	keep	Removed formatResponse overhead
2	47.375	600	12.66	43.1	keep	Removed formatResponse overhead
3	49.280	600	12.18	42.0	keep	Removed formatResponse overhead
4	48.141	600	12.46	43.2	keep	Removed formatResponse overhead
5	47.147	600	12.73	41.6	keep	Removed formatResponse overhead
6	46.939	600	12.78	43.3	keep	Cache Media Synchronization Promises in SeekTimeDriver
7	48.811	600	12.29	36.2	discard	PERF-342: prebind captureloop waiters
1	48.240	600	12.44	45.8	keep	inline allocation
2	53.688	600	11.18	33.3	keep	inline allocation
3	46.537	600	12.89	35.0	keep	inline allocation
4	47.262	600	12.70	36.3	keep	inline allocation
5	46.298	600	12.96	32.7	keep	inline allocation
6	48.761	600	12.30	40.9	discard	avoid Promise.race allocation in SeekTimeDriver (PERF-361)
1	48.271	600	12.43	38.5	keep	baseline
2	46.297	600	12.96	39.9	keep	baseline
3	46.443	600	12.92	39.4	keep	baseline
7	46.328	600	12.95	36.2	discard	eliminate polymorphic buffer checks (PERF-367)
8	47.539	600	12.62	35.8	discard	eliminate polymorphic buffer checks (PERF-367)
9	46.452	600	12.92	32.6	discard	eliminate polymorphic buffer checks (PERF-367)
1	0.000	0	0.00	0.0	crash	PERF-332: Duplicate of PERF-337, impossible
1	0.000	0	0.00	0.0	crash	PERF-370: Duplicate of previous implementation, impossible
1	46.546	600	12.89	0.0	keep	baseline
2	46.605	600	12.87	0.0	keep	baseline
3	45.939	600	13.06	0.0	keep	baseline
2	46.003	600	13.04	0.0	discard	eliminate progress interval modulo
